STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100429,5.56,0.0,17.06,0.0,78.6,17.2,87.2,70.0,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100430,5.80,0.0,17.30,0.0,78.7,17.2,87.2,70.1,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100501,0.21,0.0,17.51,0.0,78.7,17.1,87.3,70.2,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100502,0.43,0.0,17.73,0.0,78.8,17.1,87.3,70.3,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100503,0.65,0.0,17.95,0.0,78.9,17.0,87.4,70.4,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100504,0.87,0.0,18.17,0.0,79.0,17.0,87.4,70.5,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100505,1.09,0.0,18.39,0.0,79.0,16.9,87.5,70.6,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100506,1.31,0.0,18.61,0.0,79.1,16.9,87.5,70.7,2.3
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100507,1.54,0.0,18.84,0.0,79.2,16.8,87.6,70.8,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100508,1.77,0.0,19.07,0.0,79.3,16.8,87.7,70.9,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100509,1.99,0.0,19.29,0.0,79.3,16.8,87.7,71.0,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100510,2.22,0.0,19.52,0.0,79.4,16.7,87.8,71.1,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100511,2.45,0.0,19.75,0.0,79.5,16.7,87.9,71.1,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100512,2.68,0.0,19.98,0.0,79.6,16.7,87.9,71.2,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100513,2.93,0.0,20.23,0.0,79.7,16.7,88.0,71.3,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100514,3.18,0.0,20.48,0.0,79.8,16.7,88.1,71.4,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100515,3.42,0.0,20.72,0.0,79.8,16.7,88.2,71.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100516,3.66,0.0,20.96,0.0,79.9,16.7,88.3,71.6,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100517,3.91,0.0,21.21,0.0,80.0,16.7,88.3,71.7,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100518,4.15,0.0,21.45,0.0,80.1,16.7,88.4,71.7,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100519,4.40,0.0,21.70,0.0,80.2,16.7,88.5,71.8,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100520,4.65,0.0,21.95,0.0,80.2,16.7,88.6,71.9,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100521,4.90,0.0,22.20,0.0,80.3,16.7,88.7,72.0,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100522,5.15,0.0,22.45,0.0,80.4,16.7,88.8,72.0,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100523,5.40,0.0,22.70,0.0,80.5,16.7,88.8,72.1,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100524,5.64,0.0,22.94,0.0,80.5,16.8,88.9,72.2,2.1
